ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1640,"Phospholipase A2, membrane associated",PLA2G2A,190889,M22430,P14555,PA2GA_HUMAN,1AYP; 1BBC; 1DB4; 1DB5; 1DCY; 1J1A; 1KQU; 1KVO; 1N28; 1N29; 1POD; 1POE; 3U8B; 3U8D; 3U8H; 3U8I; 5G3N,PLA2G2A,PLA2G2A,HGNC:9031,Humans,DB00328; DB02325; DB03017
1653,Carbonic anhydrase 12,CA12,2984693,AF051882,O43570,CAH12_HUMAN,1JCZ; 1JD0; 4HT2; 4KP5; 4KP8; 4Q0L; 4QJ0; 4QJO; 4QJW; 4WW8; 5LL5; 5LL9; 5LLO; 5LLP; 5MSA; 5MSB; 6G5L; 6G7A; 6QN0; 6QNG; 6QNL; 6R6Y; 6R71; 6RPS; 6T5P; 6T5Q; 7PP9; 7PUU; 7PUV; 7PUW; 8CO3,CA12,CA12,HGNC:1371,Humans,DB00819; DB00936; DB03255; DB06795; DB11085; DB11672; DB14086
1667,Neuraminidase,NA,324416,M11445,P03472,NRAM_I75A5,1A14; 1BJI; 1F8B; 1F8C; 1F8D; 1F8E; 1INY; 1L7F; 1L7G; 1L7H; 1MWE; 1NCA; 1NCB; 1NCC; 1NMC; 1NNA; 1NNB; 1NNC; 1XOE; 1XOG; 2C4A; 2C4L; 2QWA; 2QWB; 2QWC; 2QWD; 2QWE; 2QWF; 2QWG; 2QWH; 2QWI; 2QWJ; 2QWK; 3NN9; 3W09; 4DGR; 4NN9; 4WEG; 5NN9; 6NN9; 7NN9,,,,Influenza A virus (strain A/Tern/Australia/G70C/1975 H11N9),DB06614
1701,Complement factor B,CFB,297569,X72875,P00751,CFAB_HUMAN,1DLE; 1Q0P; 1RRK; 1RS0; 1RTK; 2OK5; 2WIN; 2XWB; 2XWJ; 3HRZ; 3HS0; 6QSW; 6QSX; 6RAV; 6RUR; 6RUV; 6T8U; 6T8V; 6T8W; 7JTN; 7JTQ; 7NOZ; 8ENU; 8EOK; 8UIN,CFB,CFB,HGNC:1037,Humans,DB16200
1710,Ras-related protein Rab-9A,RAB9A,1174147,U44103,P51151,RAB9A_HUMAN,1WMS; 7E1T,RAB9A,RAB9,HGNC:9792,Humans,DB03793
1717,Poly [ADP-ribose] polymerase 1,PARP1,1017423,X16674,P09874,PARP1_HUMAN,1UK0; 1UK1; 1WOK; 2COK; 2CR9; 2CS2; 2DMJ; 2JVN; 2L30; 2L31; 2N8A; 2RCW; 2RD6; 2RIQ; 3GJW; 3GN7; 3L3L; 3L3M; 3OD8; 3ODA; 3ODC; 3ODE; 4AV1; 4DQY; 4GV7; 4HHY; 4HHZ; 4L6S; 4OPX; 4OQA; 4OQB; 4PJT; 4R5W; 4R6E; 4RV6; 4UND; 4UXB; 4XHU; 4ZZZ; 5A00; 5DS3; 5HA9; 5KPN; 5KPO; 5KPP; 5KPQ; 5WRQ; 5WRY; 5WRZ; 5WS0; 5WS1; 5WTC; 5XSR; 5XST; 5XSU; 6BHV; 6GHK; 6M3I; 6NRF; 6NRG; 6NRH; 6NRI; 6NRJ; 6NTU; 6VKK; 6VKO; 6VKQ; 6XVW; 7AAA; 7AAB; 7AAC; 7AAD; 7CMW; 7KK2; 7KK3; 7KK4; 7KK5; 7KK6; 7ONR; 7ONS; 7ONT; 7S68; 7S6H; 7S6M; 7S81; 7SCY; 7SCZ; 8FYY; 8FYZ; 8FZ1; 8G0H; 8HE7; 8HLR; 8JNZ; 8U4W,PARP1,PARP1,HGNC:270,Humans,DB02701; DB09074; DB11760; DB11793; DB12332
1739,Serine protease 1,PRSS1,521216,M22612,P07477,TRY1_HUMAN,1FXY; 1TRN; 2RA3; 4WWY; 4WXV; 7QE8; 7QE9; 8H3S,PRSS1,PRSS1,HGNC:9475,Humans,DB00188; DB06692
1777,Bile acid receptor,NR1H4,1546084,U68233,Q96RI1,NR1H4_HUMAN,1OSH; 3BEJ; 3DCT; 3DCU; 3FLI; 3FXV; 3GD2; 3HC5; 3HC6; 3L1B; 3OKH; 3OKI; 3OLF; 3OMK; 3OMM; 3OOF; 3OOK; 3P88; 3P89; 3RUT; 3RUU; 3RVF; 4OIV; 4QE8; 4WVD; 5IAW; 5ICK; 5Q0I; 5Q0J; 5Q0K; 5Q0L; 5Q0M; 5Q0N; 5Q0O; 5Q0P; 5Q0Q; 5Q0R; 5Q0S; 5Q0T; 5Q0U; 5Q0V; 5Q0W; 5Q0X; 5Q0Y; 5Q0Z; 5Q10; 5Q11; 5Q12; 5Q13; 5Q14; 5Q15; 5Q16; 5Q17; 5Q18; 5Q19; 5Q1A; 5Q1B; 5Q1C; 5Q1D; 5Q1E; 5Q1F; 5Q1G; 5Q1H; 5Q1I; 5WZX; 5Y1J; 5Y44; 5Y49; 5YXB; 5YXD; 5YXJ; 5YXL; 5Z12; 6A5W; 6A5X; 6A5Y; 6A5Z; 6A60; 6HL0; 6HL1; 6ITM; 7D42; 7TRB; 7VUE; 8HBM; 8HD3,NR1H4,NR1H4,HGNC:7967,Humans,DB05990; DB06777
1796,Elongation factor G,fusA,,,P13551,EFG_THETH,1FNM; 1IP8; 1IPM; 1IPO; 1IPR; 1JQM; 1JQS; 1KTV; 1PN6; 2BCW; 2BM0; 2BM1; 2BV3; 2J7K; 2OM7; 3IZP; 4M1K; 4MYT; 4MYU,,,,Thermus thermophilus,DB02703
1821,"Fatty acid-binding protein, brain",FABP7,2632065,AJ002962,O15540,FABP7_HUMAN,1FDQ; 1FE3; 1JJX; 5URA; 6L9O; 7E25; 8IVF; 8IVL,FABP7,FABP7,HGNC:3562,Humans,DB00159
1840,Complement factor D,CFD,178626,M84526,P00746,CFAD_HUMAN,1BIO; 1DFP; 1DIC; 1DST; 1DSU; 1FDP; 1HFD; 2XW9; 2XWA; 2XWB; 4CBN; 4CBO; 4D9R; 5FBE; 5FBI; 5FCK; 5MT0; 5MT4; 5NAR; 5NAT; 5NAW; 5NB6; 5NB7; 5NBA; 5TCA; 5TCC; 6FTY; 6FTZ; 6FUG; 6FUH; 6FUI; 6FUJ; 6FUT; 6QMR; 6QMT; 6VMJ; 6VMK; 8D95; 8DEA; 8DG6,CFD,CFD,HGNC:2771,Humans,DB15401
1861,TGF-beta receptor type-2,TGFBR2,339570,M85079,P37173,TGFR2_HUMAN,1KTZ; 1M9Z; 1PLO; 2PJY; 3KFD; 4P7U; 4XJJ; 5E8V; 5E8Y; 5E91; 5E92; 5QIN; 5TX4; 5TY4; 7DV6; 8G4K; 8YGZ,TGFBR2,TGFBR2,HGNC:11773,Humans,DB10772
1868,Penicillin-binding protein 2X,pbpX,47392,X16367,P59676,PBPX_STRR6,1PYY,,,,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),DB01147; DB04918; DB14733
1869,Exotoxin A,eta,151216,K01397,P11439,TOXA_PSEAE,1AER; 1DMA; 1IKP; 1IKQ; 1XK9; 1ZM2; 1ZM3; 1ZM4; 1ZM9; 2ZIT; 3B78; 3B82; 3B8H,,,,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),DB02701
1979,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,1237038,X91247,Q16881,TRXR1_HUMAN,2CFY; 2J3N; 2ZZ0; 2ZZB; 2ZZC; 3QFA; 3QFB; 7X1R,TXNRD1,TXNRD1,HGNC:12437,Humans,DB01169; DB03147
1984,Fatty acid-binding protein 5,FABP5,182354,M94856,Q01469,FABP5_HUMAN,1B56; 1JJJ; 4AZM; 4AZR; 4LKP; 4LKT; 5HZ5; 5UR9; 7FWI; 7FXD; 7FY0; 7FYD; 7G01; 7G04; 7G0B; 7G0E; 7G1Q,FABP5,FABP5,HGNC:3560,Humans,DB03796
2003,Pyruvate dehydrogenase E1 component,aceE,,V01498,P0AFG8,ODP1_ECOLI,1L8A; 1RP7; 2G25; 2G28; 2G67; 2IEA; 2QTA; 2QTC,,,,Escherichia coli (strain K12),DB00152
2010,Dihydrofolate reductase,folA,146006,J01609,P0ABQ4,DYR_ECOLI,1DDR; 1DDS; 1DHI; 1DHJ; 1DRA; 1DRB; 1DRE; 1DRH; 1DYH; 1DYI; 1DYJ; 1JOL; 1JOM; 1RA1; 1RA2; 1RA3; 1RA8; 1RA9; 1RB2; 1RB3; 1RC4; 1RD7; 1RE7; 1RF7; 1RG7; 1RH3; 1RX1; 1RX2; 1RX3; 1RX4; 1RX5; 1RX6; 1RX7; 1RX8; 1RX9; 1TDR; 2ANO; 2ANQ; 2D0K; 2DRC; 2INQ; 3DAU; 3DRC; 3K74; 3KFY; 3OCH; 3QL3; 3QYL; 3QYO; 3R33; 4DFR; 4EIG; 4EIZ; 4EJ1; 4FHB; 4GH8; 4I13; 4I1N; 4KJJ; 4KJK; 4KJL; 4NX6; 4NX7; 4PDJ; 5CC9; 5CCC; 5DFR; 6DFR; 7DFR,,,,Escherichia coli (strain K12),DB00440
2015,Beta-lactamase SHV-1,bla,5002312,AF148850,P0AD63,BLA1_ECOLX,,,,,Escherichia coli,DB01606; DB09060; DB12377
2029,Beta-lactamase SHV-2,bla,5002314,AF148851,P0A9Z7,BLA2_ECOLX,,,,,Escherichia coli,DB09060
2050,Gag-Pol polyprotein,gag-pol,326388,M15654,P03366,POL_HV1B1,1A9M; 1AJV; 1AJX; 1AXA; 1BQM; 1BQN; 1D4H; 1D4I; 1D4J; 1DLO; 1DW6; 1EBK; 1EBW; 1EBY; 1EBZ; 1EC0; 1EC1; 1EC2; 1EC3; 1EET; 1G35; 1GNM; 1GNN; 1GNO; 1HAR; 1HBV; 1HEF; 1HEG; 1HIH; 1HMV; 1HNI; 1HNV; 1HOS; 1HPS; 1HPZ; 1HQE; 1HQU; 1HRH; 1HTE; 1HTF; 1HTG; 1HVI; 1HVK; 1HVP; 1HVU; 1HYS; 1IKV; 1IKW; 1IKX; 1IKY; 1J5O; 1KJH; 1MER; 1MES; 1MET; 1MEU; 1N5Y; 1N6Q; 1NPA; 1NPV; 1NPW; 1QE1; 1QMC; 1R0A; 1RDH; 1RTD; 1RVL; 1RVM; 1RVN; 1RVO; 1RVP; 1RVQ; 1RVR; 1S6P; 1S6Q; 1S9E; 1S9G; 1SBG; 1SUQ; 1SV5; 1T03; 1T05; 1T7K; 1TV6; 1TVR; 1UWB; 1W5V; 1W5W; 1W5X; 1W5Y; 1YT9; 1ZP8; 1ZPA; 1ZSF; 1ZSR; 2AQU; 2B5J; 2B6A; 2BAN; 2BBB; 2BE2; 2EXF; 2G69; 2HB3; 2HMI; 2HNZ; 2HS1; 2HS2; 2I4D; 2I4U; 2I4V; 2I4W; 2I4X; 2I5J; 2IAJ; 2IC3; 2IDW; 2IEO; 2JZW; 2L45; 2L46; 2L4L; 2UXZ; 2UY0; 2VG5; 2VG6; 2VG7; 2X4U; 2YKM; 2YKN; 2ZD1; 2ZE2; 3AVI; 3BGR; 3DLK; 3GGA; 3GGV; 3GGX; 3HVT; 3IG1; 3IRX; 3IS9; 3ISN; 3ITH; 3JSM; 3JYT; 3K2P; 3K4V; 3KLE; 3KLF; 3KLG; 3KLH; 3KLI; 3NDT; 3NU3; 3NU4; 3NU5; 3NU6; 3NU9; 3NUJ; 3NUO; 3OK9; 3PSU; 3QAA; 3QLH; 3QO9; 3TKG; 3TKW; 3TL9; 3TLH; 3V4I; 3V6D; 3V81; 3ZPS; 3ZPT; 3ZPU; 4COE; 4CP7; 4CPQ; 4CPR; 4CPS; 4CPT; 4CPU; 4CPW; 4CPX; 4DG1; 4G1Q; 4G8G; 4G8I; 4G9D; 4G9F; 4H4M; 4H4O; 4I2P; 4I2Q; 4ICL; 4ID5; 4IDK; 4IFV; 4IFY; 4IG0; 4IG3; 4KFB; 4KKO; 4KO0; 4LSL; 4LSN; 4MFB; 4O44; 4O4G; 4OJR; 4PQU; 4PUO; 4PWD; 4Q0B; 4QAG; 4R5P; 4RW4; 4RW6; 4RW7; 4RW8; 4RW9; 4U8W; 4WE1; 4YE3; 4YHQ; 4ZIP; 4ZLS; 5AGZ; 5AH6; 5AH7; 5AH8; 5AH9; 5AHA; 5AHB; 5AHC; 5BRY; 5BS4; 5C24; 5C25; 5C42; 5D3G,,,,,DB00224; DB00238; DB00300; DB00495; DB00503; DB00625; DB00649; DB00701; DB00705; DB00709; DB00879; DB00900; DB00932; DB00943; DB01048; DB01072; DB01232; DB01264; DB01319; DB06414; DB06817; DB08864; DB08930; DB09101; DB09297; DB09299; DB11586; DB11751; DB12301
2063,D-alanyl-D-alanine carboxypeptidase DacA,dacA,,X06479,P0AEB2,DACA_ECOLI,1HD8; 1NJ4; 1NZO; 1NZU; 1SDN; 1Z6F; 3BEB; 3BEC; 3MZD; 3MZE; 3MZF,,,,Escherichia coli (strain K12),DB00274; DB01147; DB01329; DB01331; DB16335
2081,Sodium channel protein type 2 subunit alpha,SCN2A,457879,M94055,Q99250,SCN2A_HUMAN,2KAV; 4JPZ; 4RLY; 6BUT; 6J8E,SCN2A,SCN2A,HGNC:10588,Humans,DB00193; DB00252; DB00909
2082,Sodium channel protein type 3 subunit alpha,SCN3A,7414320,AJ251507,Q9NY46,SCN3A_HUMAN,7W77; 7W7F,SCN3A,SCN3A,HGNC:10590,Humans,DB00909; DB13766
2083,Sodium channel protein type 4 subunit alpha,SCN4A,338213,M81758,P35499,SCN4A_HUMAN,6AGF; 6MBA; 6MC9,SCN4A,SCN4A,HGNC:10591,Humans,DB00909; DB01195
2084,Sodium channel protein type 8 subunit alpha,SCN8A,4321647,AF050736,Q9UQD0,SCN8A_HUMAN,8FHD; 8GZ1; 8GZ2,SCN8A,SCN8A,HGNC:10596,Humans,DB00252
2086,Dihydropteroate synthase,folP1,5832717,AB028658,P0C0X1,DHPS1_MYCLE,,,,,Mycobacterium leprae (strain TN),DB00250
2087,Inactive dihydropteroate synthase 2,folP2,699152,U15180,P0C0X2,DHPS2_MYCLE,,,,,Mycobacterium leprae (strain TN),DB00250
2088,Estrogen-related receptor gamma,ESRRG,4092075,AF094518,P62508,ERR3_HUMAN,1KV6; 1TFC; 1VJB; 2E2R; 2EWP; 2GP7; 2GPO; 2GPP; 2GPU; 2GPV; 2P7A; 2P7G; 2P7Z; 2ZAS; 2ZBS; 2ZKC; 5YSO; 6A6K; 6I61; 6I62; 6I63; 6I64; 6I65; 6I66; 6I67; 6K3N; 6KNR; 6XXC; 6XY5; 6Y18; 6Y1D; 6Y3W; 6Y58; 8B4Q; 8BJG; 8BJN; 8BM5; 8IFO,ESRRG,ESRRG,HGNC:3474,Humans,DB00253; DB00255; DB00288; DB00547; DB00596; DB00663; DB00846; DB00995; DB01047; DB01130; DB01260; DB01380; DB06786; DB14596
2089,Catechol O-methyltransferase,COMT,180920,M65212,P21964,COMT_HUMAN,3A7E; 3BWM; 3BWY; 4PYI; 4PYJ; 4PYK; 4XUC; 4XUD; 4XUE; 5LSA; 6I3C; 6I3D,COMT,COMT,HGNC:2228,Humans,DB00323; DB00494; DB11632
2090,Aromatase,CYP19A1,179002,M22246,P11511,CP19A_HUMAN,3EQM; 3S79; 3S7S; 4GL5; 4GL7; 4KQ8; 5JKV; 5JKW; 5JL6; 5JL7; 5JL9,CYP19A1,CYP19A1,HGNC:2594,Humans,DB00357; DB00514; DB00894; DB00990; DB01006; DB01217; DB07776; DB08905
2091,Fibrinogen beta chain,FGB,182430,J00129,P02675,FIBB_HUMAN,1FZA; 1FZB; 1FZC; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 2A45; 2FFD; 2H43; 2HLO; 2HOD; 2HPC; 2OYH; 2OYI; 2Q9I; 2XNX; 2XNY; 2Z4E; 3BVH; 3E1I; 3GHG; 3H32; 3HUS; 6ATZ; 6BIJ; 6BIL; 6V0Y; 6V13; 6V15; 6V18; 6V19; 6V1A,FGB,FGB,HGNC:3662,Humans,DB11300; DB11311; DB11571; DB11572; DB13151
2092,Fibrinogen gamma chain,FGG,182439,M10014,P02679,FIBG_HUMAN,1DUG; 1FIB; 1FIC; 1FID; 1FZA; 1FZB; 1FZC; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 2A45; 2FFD; 2FIB; 2H43; 2HLO; 2HOD; 2HPC; 2HWL; 2OYH; 2OYI; 2Q9I; 2VDO; 2VDP; 2VDQ; 2VDR; 2VR3; 2XNX; 2XNY; 2Y7L; 2Z4E; 3BVH; 3E1I; 3FIB; 3GHG; 3H32; 3HUS; 4B60,FGG,FGG,HGNC:3694,Humans,DB00009; DB11300; DB11571; DB11572
2093,Complement C1r subcomponent,C1R,29539,X04701,P00736,C1R_HUMAN,1APQ; 1GPZ; 1MD7; 1MD8; 2QY0; 6F1C; 6F1D; 6F1H; 6F39,C1R,C1R,HGNC:1246,Humans,DB06404; DB09228
2097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,31324,X52645,P08637,FCG3A_HUMAN,3AY4; 3SGJ; 3SGK; 3WN5; 5BW7; 5D6D; 5ML9; 5MN2; 5VU0; 5XJE; 5XJF; 5YC5; 7SEG; 7URU,FCGR3A,FCGR3A,HGNC:3619,Humans,DB00028; DB06607; DB12023; DB16695
2098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,182474,M31932,P12318,FCG2A_HUMAN,1FCG; 1H9V; 3D5O; 3RY4; 3RY5; 3RY6; 8CHA,FCGR2A,FCGR2A,HGNC:3616,Humans,DB00028; DB06607
2099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,4099445,U87560,P31994,FCG2B_HUMAN,2FCB; 3WJJ; 5OCC,FCGR2B,FCGR2B,HGNC:3618,Humans,DB00028; DB00098
2100,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,32074,X17652,P31995,FCG2C_HUMAN,3WJL; 6YAX,FCGR2C,FCGR2C,HGNC:15626,Humans,DB00028
2102,Cytokine receptor common subunit gamma,IL2RG,219890,D11086,P31785,IL2RG_HUMAN,2B5I; 2ERJ; 3BPL; 3QAZ; 3QB7; 4GS7; 5M5E; 6OEL; 7S2R; 8ENT; 8EPA,IL2RG,IL2RG,HGNC:6010,Humans,DB00041; DB18740
2114,Bone marrow proteoglycan,PRG2,34476,Y00809,P13727,PRG2_HUMAN,1H8U; 2BRS; 4QXX; 7Y5N; 8HGG,PRG2,PRG2,HGNC:9362,Humans,DB06752
2115,Cytokine receptor common subunit beta,CSF2RB,487425,M59941,P32927,IL3RB_HUMAN,1C8P; 1EGJ; 1GH7; 2GYS; 2NA8; 2NA9; 4NKQ; 5DWU; 8TLD,CSF2RB,CSF2RB,HGNC:2436,Humans,DB00020
2130,Collagen alpha-1(III) chain,COL3A1,30058,X14420,P02461,CO3A1_HUMAN,2V53; 3DMW; 4AE2; 4AEJ; 4AK3; 4GYX; 6FZV; 6FZW; 7WWR; 7WWS; 7XAN,COL3A1,COL3A1,HGNC:2201,Humans,DB00048
2131,Fibroblast growth factor receptor 1,FGFR1,31368,X51803,P11362,FGFR1_HUMAN,1AGW; 1CVS; 1EVT; 1FGI; 1FGK; 1FQ9; 1XR0; 2CR3; 2FGI; 3C4F; 3DPK; 3GQI; 3GQL; 3JS2; 3KRJ; 3KRL; 3KXX; 3KY2; 3OJV; 3RHX; 3TT0; 4F63; 4F64; 4F65; 4NK9; 4NKA; 4NKS; 4RWI; 4RWJ; 4RWK; 4RWL; 4UWB; 4UWC; 4UWY; 4V01; 4V04; 4V05; 4WUN; 4ZSA; 5A46; 5A4C; 5AM6; 5AM7; 5B7V; 5EW8; 5FLF; 5O49; 5O4A; 5UQ0; 5UR1; 5VND; 5W21; 5W59; 5Z0S; 5ZV2; 6C18; 6C19; 6C1B; 6C1C; 6C1O; 6ITJ; 6MZQ; 6MZW; 6NVL; 6P68; 6P69; 7OZB; 7OZD; 7OZF; 7WCL; 7YSH; 8JMZ; 8XLO; 8XZ7; 8Y22; 8YKI,FGFR1,FGFR1,HGNC:3688,Humans,DB00398; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
2133,Fibroblast growth factor receptor 3,FGFR3,182569,M58051,P22607,FGFR3_HUMAN,1RY7; 2LZL; 4K33; 6LVM; 6PNX; 7DHL; 7YSU; 8UDT; 8UDU; 8UDV,FGFR3,FGFR3,HGNC:3690,Humans,DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
2134,Glucagon-like peptide 2 receptor,GLP2R,4324491,AF105367,O95838,GLP2R_HUMAN,7D68,GLP2R,GLP2R,HGNC:4325,Humans,DB08900
2136,Vesicle-associated membrane protein 1,VAMP1,338625,M36200,P23763,VAMP1_HUMAN,,VAMP1,VAMP1,HGNC:12642,Humans,DB00042
2137,Vesicle-associated membrane protein 2,VAMP2,338632,M36205,P63027,VAMP2_HUMAN,3FIE; 3FII; 3RK2; 3RK3; 3RL0; 7UDC,VAMP2,VAMP2,HGNC:12643,Humans,DB00042
2138,Synaptotagmin-2,SYT2,21748879,AK090672,Q8N9I0,SYT2_HUMAN,6G5G,SYT2,SYT2,HGNC:11510,Humans,DB00042
2140,Collagen alpha-1(II) chain,COL2A1,29516,X16468,P02458,CO2A1_HUMAN,1U5M; 2FSE; 2SEB; 5NIR; 5OCX; 5OCY; 6BIN; 6HG7; 6NIX; 7NZE,COL2A1,COL2A1,HGNC:2200,Humans,DB00048
2143,Calcineurin subunit B type 2,PPP3R2,33150800,AF145026,Q96LZ3,CANB2_HUMAN,,PPP3R2,PPP3R2,HGNC:9318,Humans,DB00091; DB11693
2147,Somatostatin receptor type 5,SSTR5,431095,L14865,P35346,SSR5_HUMAN,8X8L; 8X8N; 8ZBE; 8ZCJ,SSTR5,SSTR5,HGNC:11334,Humans,DB06663; DB06791; DB09099; DB13985; DB15494
2151,Aromatic-L-amino-acid decarboxylase,DDC,181521,M76180,P20711,DDC_HUMAN,3RBF; 3RBL; 3RCH; 8OR9; 8ORA,DDC,DDC,HGNC:2719,Humans,DB00165; DB00190; DB00968; DB12783
2180,Cholinesterase,BCHE,1311630,M32391,P06276,CHLE_HUMAN,1P0I; 1P0M; 1P0P; 1P0Q; 1XLU; 1XLV; 1XLW; 2J4C; 2PM8; 2WID; 2WIF; 2WIG; 2WIJ; 2WIK; 2WIL; 2WSL; 2XMB; 2XMC; 2XMD; 2XMG; 2XQF; 2XQG; 2XQI; 2XQJ; 2XQK; 2Y1K; 3DJY; 3DKK; 3O9M; 4AQD; 4AXB; 4B0O; 4B0P; 4BBZ; 4BDS; 4TPK; 4XII; 5DYT; 5DYW; 5DYY; 5K5E; 5LKR; 5NN0; 6EMI; 6EP4; 6EQP; 6EQQ; 6ESJ; 6ESY; 6EYF; 6EZ2; 6F7Q; 6I0B; 6I0C; 6I2T; 6QAA; 6QAB; 6QAC; 6QAD; 6QAE; 6R6V; 6R6W; 6RUA; 6SAM; 6T9P; 6T9S; 6XTA; 6ZWI; 7AIY; 7AMZ; 7AWG; 7AWH; 7AWI; 7BGC; 7BO3; 7BO4; 7Q1M; 7Q1N; 7Q1O; 7Q1P; 7QBQ; 7QBR; 7QHD; 7QHE; 7ZPB; 8AI7; 8AM1; 8AM2; 8CGO,BCHE,BCHE,HGNC:983,Humans,DB00382; DB00449; DB00545; DB00677; DB00733; DB00772; DB00941; DB00989; DB01010; DB01057; DB01221
2193,Thymidine phosphorylase,TYMP,189701,M63193,P19971,TYPH_HUMAN,1UOU; 2J0F; 2WK5; 2WK6,TYMP,ECGF1,HGNC:3148,Humans,DB09343
2196,Amine oxidase [flavin-containing] B,MAOB,398415,S62734,P27338,AOFB_HUMAN,1GOS; 1OJ9; 1OJA; 1OJC; 1OJD; 1S2Q; 1S2Y; 1S3B; 1S3E; 2BK3; 2BK4; 2BK5; 2BYB; 2C64; 2C65; 2C66; 2C67; 2C70; 2C72; 2C73; 2C75; 2C76; 2V5Z; 2V60; 2V61; 2VRL; 2VRM; 2VZ2; 2XCG; 2XFN; 2XFO; 2XFP; 2XFQ; 2XFU; 3PO7; 3ZYX; 4A79; 4A7A; 4CRT; 5MRL; 6FVZ; 6FW0; 6FWC; 6RKB; 6RKP; 6RLE; 6YT2; 7B0V; 7B0Z; 7P4F; 7P4H; 7ZW3,MAOB,MAOB,HGNC:6834,Humans,DB00191; DB00752; DB00780; DB01037; DB01247; DB01299; DB01367; DB01577; DB01626; DB03147; DB06654; DB09086
2198,Amine oxidase [flavin-containing] A,MAOA,187353,M68840,P21397,AOFA_HUMAN,2BXR; 2BXS; 2Z5X; 2Z5Y,MAOA,MAOA,HGNC:6833,Humans,DB00191; DB00752; DB00780; DB00805; DB01171; DB01247; DB01577; DB03147
2201,"Peptide deformylase, mitochondrial",PDF,11320944,AF239156,Q9HBH1,DEFM_HUMAN,3G5K; 3G5P,PDF,PDF,HGNC:30012,Humans,DB00371; DB01131; DB01157; DB06813; DB14763
2204,Xanthine dehydrogenase/oxidase,XDH,10336525,D11456,P47989,XDH_HUMAN,2CKJ; 2E1Q,XDH,XDH,HGNC:12805,Humans,DB00437; DB03147; DB04854; DB11672; DB16628
2211,Prolyl hydroxylase EGLN2,EGLN2,14547148,AJ310544,Q96KS0,EGLN2_HUMAN,5V1B,EGLN2,EGLN2,HGNC:14660,Humans,DB04847; DB11682; DB12255
2212,Cyclin-dependent kinase 6,CDK6,36623,X66365,Q00534,CDK6_HUMAN,1BI7; 1BI8; 1BLX; 1G3N; 1JOW; 1XO2; 2EUF; 2F2C; 3NUP; 3NUX; 4AUA; 4EZ5; 4TTH; 5L2I; 5L2S; 5L2T; 6OQL; 6OQO; 8I0M,CDK6,CDK6,HGNC:1777,Humans,DB05676; DB09073; DB11730; DB12001; DB15442
2214,Adenosine deaminase,ADA,28380,X02994,P00813,ADA_HUMAN,3IAR; 7RTG,ADA,ADA,HGNC:186,Humans,DB00242; DB00552; DB00975; DB01073
2216,Cyclin-dependent kinase 4,CDK4,456427,M14505,P11802,CDK4_HUMAN,2W96; 2W99; 2W9F; 2W9Z; 3G33; 5FWK; 5FWL; 5FWM; 5FWP; 6P8E; 6P8F; 6P8G; 6P8H; 7SJ3,CDK4,CDK4,HGNC:1773,Humans,DB05676; DB09073; DB11730; DB12001; DB15442
2217,Egl nine homolog 1,EGLN1,11345052,AF246631,Q9GZT9,EGLN1_HUMAN,2G19; 2G1M; 2HBT; 2HBU; 2Y33; 2Y34; 3HQR; 3HQU; 3OUH; 3OUI; 3OUJ; 4BQW; 4BQX; 4BQY; 4JZR; 4KBZ; 4UWD; 5A3U; 5L9B; 5L9R; 5L9V; 5LA9; 5LAS; 5LAT; 5LB6; 5LBB; 5LBC; 5LBE; 5LBF; 5OX5; 5OX6; 5V18; 6NMQ; 6QGV; 6ST3; 6YVT; 6YVW; 6YVX; 6YVZ; 6YW0; 6YW1; 6YW2; 6YW3; 6YW4; 6ZBN; 6ZBO; 7Q5V; 7Q5X; 7UJV; 7UMP; 8J1K; 8Q5S; 8Q64; 8Q6D; 8Q6E,EGLN1,EGLN1,HGNC:1232,Humans,DB04847; DB11682; DB12255
2219,Prolyl hydroxylase EGLN3,EGLN3,14547150,AJ310545,Q9H6Z9,EGLN3_HUMAN,,EGLN3,EGLN3,HGNC:14661,Humans,DB04847; DB11682; DB12255
2226,Voltage-dependent N-type calcium channel subunit alpha-1B,CACNA1B,179758,M94172,Q00975,CAC1B_HUMAN,2LCM; 7MIX; 7MIY; 7VFS; 7VFU; 7VFV; 7VFW,CACNA1B,CACNA1B,HGNC:1389,Humans,DB01202; DB04703; DB06283
